iter	Passed	Remaining
410	17374	24899
411	17413	24851
412	17452	24806
413	17492	24759
414	17530	24711
415	17570	24666
416	17610	24620
417	17648	24572
418	17690	24530
419	17725	24478
420	17765	24432
421	17806	24388
422	17844	24341
423	17882	24293
424	17922	24248
425	17971	24215
426	18011	24170
427	18050	24123
428	18087	24074
429	18124	24025
430	18162	23978
431	18203	23934
432	18237	23881
433	18275	23834
434	18315	23788
435	18354	23742
436	18393	23696
437	18430	23647
438	18468	23601
439	18506	23553
440	18544	23506
441	18584	23461
442	18622	23414
443	18665	23373
444	18704	23327
445	18742	23280
446	18780	23234
447	18818	23187
448	18858	23142
449	18894	23093
450	18936	23051
451	18975	23006
452	19015	22960
453	19055	22917
454	19095	22872
455	19133	22826
456	19174	22782
457	19212	22735
458	19252	22691
459	19290	22645
460	19328	22598
461	19367	22553
462	19405	22506
463	19445	22462
464	19487	22420
465	19526	22376
466	19565	22330
467	19603	22284
468	19641	22238
469	19683	22196
470	19722	22151
471	19761	22105
472	19799	22059
473	19837	22013
474	19876	21968
475	19915	21923
476	19954	21878
477	19993	21833
478	20030	21786
479	20068	21740
480	20107	21695
481	20147	21652
482	20187	21608
483	20227	21564
484	20266	21520
485	20305	21475
486	20345	21431
487	20385	21387
488	20423	21342
489	20463	21298
490	20502	21254
491	20540	21208
492	20580	21165
493	20618	21119
494	20659	21077
495	20698	21031
496	20739	20989
497	20778	20945
498	20817	20900
499	20855	20855
500	20894	20810
501	20935	20768
502	20973	20723
503	21011	20678
504	21049	20632
505	21090	20590
506	21129	20545
507	21169	20502
508	21208	20458
509	21246	20413
510	21286	20369
511	21325	20325
512	21366	20283
513	21401	20235
514	21439	20190
515	21478	20146
516	21516	20101
517	21556	20057
518	21594	20013
519	21634	19970
520	21674	19926
521	21712	19882
522	21750	19837
523	21790	19794
524	21827	19748
525	21866	19704
526	21904	19660
527	21944	19617
528	21981	19571
529	22018	19525
530	22058	19483
531	22097	19439
532	22137	19396
533	22174	19351
534	22212	19306
535	22250	19261
536	22289	19217
537	22330	19175
538	22368	19131
539	22407	19088
540	22446	19044
541	22486	19001
542	22524	18957
543	22563	18913
544	22604	18871
545	22646	18830
546	22680	18782
547	22718	18738
548	22756	18694
549	22795	18650
550	22833	18606
551	22873	18563
552	22912	18520
553	22952	18477
554	22989	18432
555	23027	18388
556	23066	18345
557	23103	18300
558	23144	18258
559	23184	18216
560	23222	18172
561	23261	18128
562	23299	18085
563	23339	18042
564	23376	17998
565	23412	17952
566	23453	17910
567	23491	17866
568	23530	17823
569	23570	17781
570	23608	17737
571	23649	17696
572	23688	17652
573	23727	17609
574	23765	17566
575	23803	17522
576	23842	17478
577	23879	17434
578	23919	17392
579	23962	17352
580	24001	17309
581	24040	17266
582	24081	17224
583	24119	17181
584	24158	17138
585	24198	17095
586	24236	17052
587	24274	17008
588	24313	16966
589	24352	16923
590	24389	16878
591	24427	16834
592	24466	16792
593	24507	16750
594	24546	16708
595	24585	16665
596	24623	16621
597	24664	16580
598	24705	16538
599	24744	16496
600	24781	16452
601	24821	16410
602	24860	16367
603	24901	16326
604	24941	16283
605	24979	16240
606	25017	16197
607	25056	16154
608	25094	16111
609	25135	16070
610	25173	16026
611	25210	15983
612	25248	15940
613	25288	15898
614	25328	15856
615	25365	15812
616	25403	15769
617	25467	15741
618	25507	15699
619	25545	15656
620	25585	15614
621	25622	15571
622	25662	15529
623	25701	15487
624	25741	15444
625	25781	15402
626	25819	15359
627	25857	15316
628	25897	15275
629	25938	15233
630	25970	15187
631	26007	15143
632	26046	15101
633	26084	15058
634	26124	15016
635	26163	14974
636	26204	14932
637	26241	14889
638	26280	14847
639	26319	14804
640	26358	14762
641	26396	14719
642	26440	14679
643	26479	14637
644	26518	14595
645	26559	14554
646	26597	14511
647	26637	14469
648	26676	14427
649	26713	14384
650	26752	14341
651	26790	14299
652	26829	14257
653	26870	14215
654	26907	14172
655	26945	14129
656	26983	14087
657	27022	14045
658	27060	14002
659	27101	13961
660	27140	13919
661	27179	13876
662	27217	13834
663	27256	13792
664	27294	13749
665	27332	13707
666	27371	13665
667	27412	13624
668	27451	13582
669	27491	13540
670	27529	13498
671	27568	13456
672	27610	13415
673	27649	13373
674	27687	13330
675	27724	13288
676	27763	13246
677	27804	13204
678	27842	13162
679	27881	13120
680	27919	13078
681	27957	13036
682	27997	12994
683	28033	12951
684	28073	12909
685	28113	12868
686	28154	12827
687	28193	12785
688	28235	12744
689	28276	12703
690	28314	12661
691	28350	12618
692	28391	12577
693	28429	12535
694	28467	12493
695	28506	12450
696	28544	12408
697	28582	12366
698	28623	12325
699	28661	12283
700	28700	12241
701	28737	12199
702	28774	12156
703	28818	12116
704	28863	12077
705	28899	12034
706	28936	11992
707	28973	11949
708	29013	11908
709	29051	11866
710	29093	11825
711	29131	11783
712	29184	11747
713	29227	11707
714	29269	11666
715	29309	11625
716	29346	11583
717	29383	11540
718	29421	11498
719	29461	11457
720	29505	11417
721	29544	11375
722	29582	11333
723	29622	11292
724	29658	11249
725	29698	11208
726	29736	11166
727	29774	11124
728	29812	11082
729	29853	11041
730	29892	11000
731	29931	10958
732	29970	10916
733	30009	10875
734	30046	10833
735	30085	10791
736	30126	10750
737	30166	10709
738	30205	10668
739	30246	10627
740	30285	10585
741	30324	10544
742	30362	10502
743	30396	10458
744	30433	10416
745	30471	10375
746	30513	10334
747	30551	10292
748	30594	10252
749	30631	10210
750	30667	10168
751	30719	10130
752	30805	10104
753	30866	10070
754	30923	10034
755	30987	10001
756	31030	9961
757	31067	9918
758	31106	9876
759	31144	9835
760	31180	9792
761	31221	9751
762	31265	9711
763	31303	9669
764	31342	9628
765	31382	9586
766	31418	9544
767	31455	9502
768	31495	9460
769	31534	9419
770	31579	9379
771	31618	9338
772	31656	9296
773	31695	9254
774	31734	9213
775	31773	9171
776	31812	9130
777	31851	9088
778	31889	9046
779	31926	9004
780	31967	8964
781	32006	8922
782	32045	8881
783	32084	8839
784	32121	8797
785	32160	8756
786	32201	8715
787	32243	8674
788	32281	8632
789	32319	8591
790	32359	8550
791	32397	8508
792	32436	8467
793	32473	8425
794	32514	8384
795	32552	8342
796	32593	8301
797	32633	8260
798	32672	8219
799	32711	8177
800	32750	8136
801	32792	8095
802	32831	8054
803	32869	8012
804	32908	7971
805	32947	7930
806	32987	7889
807	33025	7847
808	33068	7807
809	33109	7766
810	33148	7725
811	33187	7683
812	33228	7643
813	33265	7601
814	33300	7558
815	33337	7517
816	33375	7475
817	33414	7434
818	33454	7393
819	33492	7352
820	33530	7310
821	33572	7270
822	33611	7228
823	33651	7187
824	33690	7146
825	33729	7105
826	33770	7064
827	33811	7023
828	33845	6981
829	33883	6940
830	33923	6898
831	33960	6857
832	33999	6816
833	34038	6775
834	34076	6733
835	34116	6692
836	34156	6651
837	34195	6610
838	34233	6569
839	34272	6528
840	34309	6486
841	34350	6445
842	34387	6404
843	34426	6363
844	34467	6322
845	34505	6281
846	34543	6239
847	34583	6198
848	34623	6158
849	34661	6116
850	34700	6075
851	34749	6036
852	34788	5995
853	34827	5954
854	34864	5912
855	34901	5871
856	34940	5830
857	34979	5789
858	35067	5756
859	35170	5725
860	35256	5691
861	35315	5653
862	35385	5617
863	35444	5579
864	35504	5541
865	35573	5504
866	35646	5468
867	35742	5435
868	35819	5399
869	35889	5362
870	35974	5327
871	36048	5291
872	36107	5252
873	36148	5211
874	36187	5169
875	36233	5128
876	36271	5087
877	36311	5045
878	36348	5003
879	36416	4965
880	36454	4923
881	36492	4882
882	36531	4840
883	36577	4799
884	36622	4758
885	36662	4717
886	36702	4675
887	36743	4634
888	36783	4592
889	36823	4551
890	36861	4509
891	36902	4468
892	36941	4426
893	36982	4384
894	37052	4346
895	37114	4307
896	37167	4267
897	37225	4228
898	37263	4186
899	37302	4144
900	37341	4102
901	37378	4061
902	37416	4019
903	37455	3977
904	37496	3936
905	37539	3894
906	37579	3853
907	37622	3811
908	37658	3769
909	37700	3728
910	37748	3687
911	37841	3651
912	37905	3612
913	37975	3573
914	38054	3535
915	38115	3495
916	38194	3457
917	38236	3415
918	38282	3374
919	38327	3332
920	38370	3291
921	38416	3249
922	38457	3208
923	38499	3166
924	38548	3125
925	38595	3084
926	38638	3042
927	38681	3001
928	38724	2959
929	38771	2918
930	38842	2878
931	38916	2839
932	38999	2800
933	39082	2761
934	39155	2722
935	39250	2683
936	39349	2645
937	39441	2607
938	39494	2565
939	39571	2525
940	39639	2485
941	39721	2445
942	39807	2406
943	39927	2368
944	40035	2330
945	40137	2291
946	40221	2251
947	40281	2209
948	40331	2167
949	40397	2126
950	40438	2083
951	40480	2041
952	40529	1998
953	40568	1956
954	40608	1913
955	40668	1871
956	40710	1829
957	40756	1786
958	40800	1744
959	40848	1702
960	40895	1659
961	40941	1617
962	41000	1575
963	41076	1533
964	41129	1491
965	41176	1449
966	41225	1406
967	41278	1364
968	41333	1322
969	41387	1280
970	41437	1237
971	41485	1195
972	41553	1153
973	41609	1110
974	41672	1068
975	41730	1026
976	41777	983
977	41817	940
978	41857	897
979	41899	855
980	41961	812
981	42000	769
982	42041	727
983	42081	684
984	42120	641
985	42162	598
986	42202	555
987	42245	513
988	42283	470
989	42325	427
990	42366	384
991	42406	341
992	42455	299
993	42494	256
994	42536	213
995	42580	171
996	42618	128
997	42655	85
998	42699	42
999	42740	0
