iter	Logloss
925	0.3824308134
926	0.3824003562
927	0.3823639246
928	0.3823546645
929	0.382289591
930	0.3822554802
931	0.3822114545
932	0.3821462316
933	0.3821142463
934	0.3820891659
935	0.3820628447
936	0.3820454274
937	0.38202446
938	0.3819767808
939	0.3819360409
940	0.3818966797
941	0.3818530676
942	0.3817985754
943	0.381765062
944	0.3817473116
945	0.381704653
946	0.3816721622
947	0.3816548024
948	0.3816191406
949	0.3815915671
950	0.3815543658
951	0.3815289522
952	0.3814924517
953	0.3814656939
954	0.3814303424
955	0.3813918428
956	0.3813817785
957	0.3813508617
958	0.3813422794
959	0.3812931641
960	0.3812665441
961	0.3812523667
962	0.3812277803
963	0.3812082031
964	0.3811774931
965	0.3811442555
966	0.3810997932
967	0.3810696691
968	0.381033812
969	0.380997346
970	0.3809567325
971	0.380915579
972	0.3808632583
973	0.3808469439
974	0.3808009076
975	0.3807511374
976	0.3807206112
977	0.3806717486
978	0.3806488166
979	0.3806193819
980	0.3805825023
981	0.3805596507
982	0.3805244485
983	0.3804794922
984	0.3804448644
985	0.3804033203
986	0.3803592601
987	0.3803267463
988	0.3803073644
989	0.3802815832
990	0.3802278722
991	0.3801937845
992	0.380173449
993	0.3801341797
994	0.3800977252
995	0.3800592601
996	0.3800103171
997	0.379993727
998	0.379970818
999	0.3799314683
